Title,Link,Rating,Description,Genre,Duration (hrs)
La vita è bella,https://www.imdb.com/title/tt0118799/,8.6,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.","Comedy, Drama, Romance",1h 56m
The Green Mile,https://www.imdb.com/title/tt0120689/,8.6,"A tale set on death row, where gentle giant John Coffey possesses the mysterious power to heal people&apos;s ailments. When the lead guard, Paul Edgecombe, recognizes John&apos;s gift, he tries to help stave off the condemned man&apos;s execution.","Crime, Drama, Fantasy",3h 9m
Terminator 2: Judgment Day,https://www.imdb.com/title/tt0103064/,8.6,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.","Action, Adventure, Sci-Fi",2h 17m
Star Wars,https://www.imdb.com/title/tt0076759/,8.6,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire&apos;s world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth ...","Action, Adventure, Fantasy",2h 1m
Back to the Future,https://www.imdb.com/title/tt0088763/,8.5,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.","Adventure, Comedy, Sci-Fi",1h 56m
Sen to Chihiro no kamikakushi,https://www.imdb.com/title/tt0245429/,8.6,"During her family&apos;s move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.","Animation, Adventure, Family",2h 5m
The Pianist,https://www.imdb.com/title/tt0253474/,8.5,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.","Biography, Drama, Music",2h 30m
Dune: Part Two,https://www.imdb.com/title/tt15239678/,8.6,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,"Action, Adventure, Drama",2h 46m
Gisaengchung,https://www.imdb.com/title/tt6751668/,8.5,Greed and class discrimination threaten the newly-formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,"Drama, Thriller",2h 12m
Psycho,https://www.imdb.com/title/tt0054215/,8.5,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,"Horror, Mystery, Thriller",1h 49m
Gladiator,https://www.imdb.com/title/tt0172495/,8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"Action, Adventure, Drama",2h 35m
Spider-Man: Across the Spider-Verse,https://www.imdb.com/title/tt9362722/,8.6,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a ...","Animation, Action, Adventure",2h 20m
The Lion King,https://www.imdb.com/title/tt0110357/,8.5,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Animation, Adventure, Drama",1h 28m
The Departed,https://www.imdb.com/title/tt0407887/,8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"Crime, Drama, Thriller",2h 31m
Léon,https://www.imdb.com/title/tt0110413/,8.5,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin&apos;s trade.","Action, Crime, Drama",1h 50m
